Years,Lost,Manner,Start,Military,Age,Conflict,LogInc,Growth,Population,Land,Literacy,Region
19,3,0,1966,0,52,0,4.61,6.3,1.600,30,65,1
1,0,1,1986,1,,0,4.61,6.3,1.600,30,65,1
8,3,0,1971,0,58,1,5.74,0.8,2.500,111,20,1
7,0,1,1980,1,28,1,5.74,0.8,2.500,111,20,1
11,3,0,1960,0,48,1,5.01,-1.2,11.000,587,53,1
2,3,0,1972,1,62,1,5.01,-1.2,11.000,587,53,1
12,0,0,1975,1,39,1,5.01,-1.2,11.000,587,53,1
23,0,0,1964,0,58,1,4.7,2.2,7.700,118,25,1
8,3,0,1960,0,45,0,4.25,1.2,8.700,1240,10,1
19,0,1,1968,1,32,0,4.25,1.2,8.700,1240,10,1
17,3,0,1960,0,36,1,5.3,0.3,2.000,1030,17,1
0,3,1,1978,1,42,1,5.3,0.3,2.000,1030,17,1
0,3,1,1979,1,36,1,5.3,0.3,2.000,1030,17,1
4,3,1,1980,1,40,1,5.3,0.3,2.000,1030,17,1
2,0,1,1984,1,39,1,5.3,0.3,2.000,1030,17,1
14,1,0,1968,0,68,1,6.02,2.8,1.000,1.9,79,1
5,0,0,1982,0,52,1,6.02,2.8,1.000,1.9,79,1
11,2,1,1975,1,42,1,5.14,0.1,15.000,801,14,1
0,0,0,1986,1,47,1,5.14,0.1,15.000,801,14,1
13,3,0,1960,0,44,0,4.61,-1.2,7.000,1267,8,1
13,0,1,1974,1,43,0,4.61,-1.2,7.000,1267,8,1
5,3,0,1960,0,48,1,5.35,3.2,112.000,923,30,1
0,3,1,1966,1,42,1,5.35,3.2,112.000,923,30,1
9,3,1,1966,1,32,1,5.35,3.2,112.000,923,30,1
0,3,1,1975,1,38,1,5.35,3.2,112.000,923,30,1
3,1,1,1976,1,39,1,5.35,3.2,112.000,923,30,1
4,3,0,1979,0,54,1,5.35,3.2,112.000,923,30,1
1,3,1,1983,1,41,1,5.35,3.2,112.000,923,30,1
2,0,1,1985,1,44,1,5.35,3.2,112.000,923,30,1
11,3,0,1962,0,38,1,4.25,2.3,7.000,26,37,1
14,0,1,1973,1,33,1,4.25,2.3,7.000,26,37,1
12,0,1,1975,1,38,0,6.19,-1.3,0.110,1,50,1
20,1,0,1960,0,54,1,5.52,-0.5,7.300,196,10,1
6,0,0,1981,0,46,1,5.52,-0.5,7.300,196,10,1
0,3,0,1976,0,37,0,6.41,3.4,0.070,0.5,60,1
10,0,1,1977,0,42,0,6.41,3.4,0.070,0.5,60,1
3,2,0,1961,0,65,1,5.08,1.1,4.000,72,15,1
2,1,0,1964,0,54,1,5.08,1.1,4.000,72,15,1
0,3,1,1967,1,45,1,5.08,1.1,4.000,72,15,1
1,3,1,1967,1,36,1,5.08,1.1,4.000,72,15,1
17,1,0,1968,0,63,1,5.08,1.1,4.000,72,15,1
2,0,0,1985,1,48,1,5.08,1.1,4.000,72,15,1
3,1,0,1960,0,41,0,4.38,-0.8,8.000,638,60,1
3,1,0,1964,0,40,0,4.38,-0.8,8.000,638,60,1
18,0,1,1969,1,48,0,4.38,-0.8,8.000,638,60,1
12,1,0,1966,0,46,1,6.96,1.6,35.000,1221,65,1
9,0,0,1978,0,62,1,6.96,1.6,35.000,1221,65,1
14,2,0,1968,0,69,1,5.8,2.6,0.700,17,65,1
2,3,1,1961,0,37,1,5.8,2.6,0.700,17,65,1
1,0,0,1986,0,18,1,5.8,2.6,0.700,17,65,1
24,1,0,1961,0,39,0,4.87,0.9,24.000,945,79,1
2,0,0,1985,0,60,0,4.87,0.9,24.000,945,79,1
2,3,0,1960,0,58,1,5.19,1.1,3.300,57,18,1
3,3,1,1963,0,50,1,5.19,1.1,3.300,57,18,1
20,0,1,1967,1,30,1,5.19,1.1,3.300,57,18,1
8,3,0,1962,0,37,1,5.01,-4.4,16.000,236,52,1
8,3,1,1971,1,46,1,5.01,-4.4,16.000,236,52,1
0,3,1,1979,0,67,1,5.01,-4.4,16.000,236,52,1
0,3,0,1979,0,59,1,5.01,-4.4,16.000,236,52,1
0,3,1,1985,1,72,1,5.01,-4.4,16.000,236,52,1
0,0,1,1986,1,43,1,5.01,-4.4,16.000,236,52,1
5,3,0,1960,0,39,1,4.25,1.4,8.500,274,7,1
14,3,1,1966,1,50,1,4.25,1.4,8.500,274,7,1
1,3,1,1980,1,48,1,4.25,1.4,8.500,274,7,1
0,3,1,1982,1,44,1,4.25,1.4,8.500,274,7,1
4,3,1,1983,1,34,1,4.25,1.4,8.500,274,7,1
0,0,1,1987,1,38,1,4.25,1.4,8.500,274,7,1
5,3,0,1960,0,43,1,4.25,-1.3,33.000,2345,40,1
1,3,0,1960,0,35,1,4.25,-1.3,33.000,2345,40,1
0,1,1,1960,1,30,1,4.25,-1.3,33.000,2345,40,1
0,3,1,1960,0,42,1,4.25,-1.3,33.000,2345,40,1
2,3,1,1961,0,40,1,4.25,-1.3,33.000,2345,40,1
1,3,0,1960,0,35,1,4.25,-1.3,33.000,2345,40,1
1,3,1,1964,0,45,1,4.25,-1.3,33.000,2345,40,1
0,3,0,1965,0,39,1,4.25,-1.3,33.000,2345,40,1
23,0,0,1964,0,40,1,6.06,-1.3,7.500,752,54,1
0,3,0,1963,0,33,0,4.87,0.9,0.010,2.4,79,1
0,1,1,1964,0,59,0,4.87,0.9,0.010,2.4,79,1
7,0,0,1980,0,56,1,6.06,1.5,9.700,391,50,1
2,3,0,1962,0,43,1,6.35,3.6,24.000,2381,52,0
12,2,1,1965,1,40,1,6.35,3.6,24.000,2381,52,0
8,0,0,1979,1,50,1,6.35,3.6,24.000,2381,52,0
16,0,0,1971,0,38,1,7.67,2.1,0.500,0.6,40,0
11,3,0,1970,1,52,1,5.52,4.2,53.000,1001,45,0
6,0,0,1981,1,53,1,5.52,4.2,53.000,1001,45,0
8,0,1,1979,0,79,1,6.77,4.2,51.000,1648,48,0
3,2,1,1963,1,49,1,6.75,7.6,18.000,435,55,0
2,3,0,1966,0,50,1,6.75,7.6,18.000,435,55,0
11,1,1,1968,1,56,1,6.75,7.6,18.000,435,55,0
8,0,0,1979,1,42,1,6.75,7.6,18.000,435,55,0
6,2,0,1963,0,68,1,8.01,2.9,4.300,20,80,0
5,1,0,1969,0,71,1,8.01,2.9,4.300,20,80,0
3,1,0,1974,0,52,1,8.01,2.9,4.300,20,80,0
0,1,0,1979,0,56,1,8.01,2.9,4.300,20,80,0
4,1,0,1979,0,66,1,8.01,2.9,4.300,20,80,0
0,1,0,1983,0,68,1,8.01,2.9,4.300,20,80,0
4,2,0,1961,0,66,0,9.4,0.2,2.000,18,71,0
12,2,0,1965,0,51,0,9.4,0.2,2.000,18,71,0
10,0,0,1977,0,47,0,9.4,0.2,2.000,18,71,0
6,1,0,1964,0,53,1,6.85,-6,2.700,10,75,0
6,1,0,1970,0,60,1,6.85,-6,2.700,10,75,0
6,1,0,1976,0,52,1,6.85,-6,2.700,10,75,0
0,3,0,1982,0,34,1,6.85,-6,2.700,10,75,0
5,0,0,1982,0,40,1,6.85,-6,2.700,10,75,0
18,0,1,1969,1,27,0,8.17,-0.9,4.000,1760,55,0
26,0,0,1961,0,32,1,5.77,2.9,25.000,447,28,0
17,0,0,1970,0,30,1,6.73,6.5,1.300,212,20,0
1,3,0,1971,0,54,0,9.34,-7,0.300,11,40,0
15,0,0,1972,0,35,0,9.34,-7,0.300,11,40,0
11,3,0,1964,0,19,0,7.38,6.7,15.000,2149,52,0
7,2,0,1975,0,61,0,7.38,6.7,15.000,2149,52,0
5,0,0,1982,0,32,0,7.38,6.7,15.000,2149,52,0
1,1,0,1965,0,57,1,4.87,1.3,24.000,2506,20,0
0,1,0,1966,0,30,1,4.87,1.3,24.000,2506,20,0
16,3,1,1969,1,39,1,4.87,1.3,24.000,2506,20,0
0,3,1,1961,0,47,1,5.99,4.9,12.000,185,47,0
0,3,1,1961,1,,1,5.99,4.9,12.000,185,47,0
1,3,0,1961,0,55,1,5.99,4.9,12.000,185,47,0
0,1,1,1962,1,,1,5.99,4.9,12.000,185,47,0
0,3,1,1963,1,37,1,5.99,4.9,12.000,185,47,0
3,3,1,1963,1,52,1,5.99,4.9,12.000,185,47,0
4,3,0,1966,1,37,1,5.99,4.9,12.000,185,47,0
17,0,1,1970,1,42,1,5.99,4.9,12.000,185,47,0
0,0,1,1987,1,51,1,6.13,5,8.000,164,62,0
1,1,1,1960,1,65,0,6.4,3,54.000,781,70,0
6,3,0,1965,0,41,0,6.4,3,54.000,781,70,0
2,1,1,1971,1,71,0,6.4,3,54.000,781,70,0
0,1,0,1974,0,48,0,6.4,3,54.000,781,70,0
0,1,0,1974,0,70,0,6.4,3,54.000,781,70,0
4,1,1,1979,1,61,0,6.4,3,54.000,781,70,0
4,0,0,1983,0,56,0,6.4,3,54.000,781,70,0
1,3,0,1961,0,33,1,5.52,5.7,6.700,195,15,0
5,3,1,1962,1,45,1,5.52,5.7,6.700,195,15,0
7,3,0,1967,0,32,1,5.52,5.7,6.700,195,15,0
3,3,1,1974,1,29,1,5.52,5.7,6.700,195,15,0
1,3,0,1977,1,,1,5.52,5.7,6.700,195,15,0
9,0,1,1978,1,36,1,5.52,5.7,6.700,195,15,0
2,3,0,1967,0,,0,5.63,6,2.400,333,25,0
7,3,0,1971,0,37,0,5.63,6,2.400,333,25,0
0,1,1,1978,0,,0,5.63,6,2.400,333,25,0
2,1,0,1978,0,41,0,5.63,6,2.400,333,25,0
6,3,0,1980,0,41,0,5.63,6,2.400,333,25,0
1,0,1,1986,0,47,0,5.63,6,2.400,333,25,0
16,0,0,1971,0,55,0,9.55,-1.2,2.000,84,68,0
10,3,1,1963,0,43,1,4.5,0.5,14.000,648,12,2
0,3,1,1978,0,61,1,4.5,0.5,14.000,648,12,2
0,3,0,1979,0,50,1,4.5,0.5,14.000,648,12,2
7,3,1,1979,0,50,1,4.5,0.5,14.000,648,12,2
1,0,1,1986,1,39,1,4.5,0.5,14.000,648,12,2
3,3,0,1971,0,51,1,4.38,0.5,109.000,144,29,2
0,3,1,1975,0,56,1,4.38,0.5,109.000,144,29,2
0,3,1,1975,1,,1,4.38,0.5,109.000,144,29,2
2,3,1,1975,0,59,1,4.38,0.5,109.000,144,29,2
3,3,1,1978,1,42,1,4.38,0.5,109.000,144,29,2
0,3,0,1981,0,75,1,4.38,0.5,109.000,144,29,2
5,0,1,1982,1,52,1,4.38,0.5,109.000,144,29,2
15,0,0,1972,0,17,0,4.25,0.1,1.500,47,5,2
20,0,0,1967,0,22,0,9.34,7.4,0.300,6,45,2
1,1,0,1976,0,56,1,4.79,4.4,1088.000,9596,75,2
9,0,0,1978,0,74,1,4.79,4.4,1088.000,9596,75,2
17,1,0,1970,0,50,1,6.48,3.4,0.740,18,80,2
0,3,0,1987,0,52,1,6.48,3.4,0.740,18,80,2
0,1,1,1987,1,38,1,6.48,3.4,0.740,18,80,2
0,3,0,1987,0,69,1,6.48,3.4,0.740,18,80,2
4,1,0,1960,0,61,0,8.2,4.8,122.000,372,99,2
8,1,0,1964,0,63,0,8.2,4.8,122.000,372,99,2
2,1,0,1972,0,54,0,8.2,4.8,122.000,372,99,2
2,1,0,1974,0,67,0,8.2,4.8,122.000,372,99,2
2,1,0,1976,0,71,0,8.2,4.8,122.000,372,99,2
2,2,0,1978,0,68,0,8.2,4.8,122.000,372,99,2
2,1,0,1980,0,69,0,8.2,4.8,122.000,372,99,2
5,1,0,1982,0,65,0,8.2,4.8,122.000,372,99,2
0,0,0,1987,0,63,0,8.2,4.8,122.000,372,99,2
1,2,0,1964,0,60,1,4.79,1.5,816.000,3288,36,2
11,1,0,1966,0,49,1,4.79,1.5,816.000,3288,36,2
2,1,0,1977,0,81,1,4.79,1.5,816.000,3288,36,2
0,1,0,1979,0,77,1,4.79,1.5,816.000,3288,36,2
3,0,0,1984,0,40,1,4.79,1.5,816.000,3288,36,2
21,0,1,1966,1,46,1,4.87,5,184.000,1919,62,2
5,3,1,1970,1,57,0,4.25,-6.8,7.000,181,48,2
3,0,1,1975,0,47,0,4.25,-6.8,7.000,181,48,2
8,0,1,1979,1,44,0,4.25,-6.8,7.000,181,48,2
3,1,0,1979,0,29,1,5.81,1.3,0.010,0.7,90,2
0,1,0,1982,0,,1,5.81,1.3,0.010,0.7,90,2
0,1,1,1960,0,64,1,5.99,6.7,43.000,98,95,2
0,1,0,1960,0,63,1,5.99,6.7,43.000,98,95,2
18,3,0,1961,0,60,1,5.99,6.7,43.000,98,95,2
0,1,0,1979,0,60,1,5.99,6.7,43.000,98,95,2
8,0,1,1979,1,48,1,5.99,6.7,43.000,98,95,2
1,1,1,1960,0,48,1,4.09,3.1,4.000,236,85,2
1,1,1,1964,1,,1,4.09,3.1,4.000,236,85,2
12,0,1,1975,0,55,1,4.09,3.1,4.000,236,85,2
5,2,0,1970,0,48,1,6.35,4.5,16.000,330,65,2
5,1,0,1976,0,51,1,6.35,4.5,16.000,330,65,2
6,0,0,1981,0,55,1,6.35,4.5,16.000,330,65,2
13,3,1,1965,0,39,0,4.79,1.4,0.200,0.3,36,2
9,0,1,1978,0,38,0,4.79,1.4,0.200,0.3,36,2
3,0,0,1984,0,58,1,6.76,3.6,2.000,1565,80,2
8,1,0,1968,0,45,0,5.81,1.3,0.010,0.02,99,2
2,1,0,1976,0,30,0,5.81,1.3,0.010,0.02,99,2
0,1,0,1978,0,55,0,5.81,1.3,0.010,0.02,99,2
0,1,0,1986,0,,0,5.81,1.3,0.010,0.02,99,2
15,0,0,1972,0,37,1,4.5,0.1,18.000,140,20,2
5,1,0,1975,0,39,0,6.02,0.9,3.600,461,32,2
2,1,0,1980,0,40,0,6.02,0.9,3.600,461,32,2
2,0,0,1985,0,34,0,6.02,0.9,3.600,461,32,2
2,1,0,1969,1,52,1,4.79,2.5,107.000,803,26,2
5,3,0,1971,0,43,1,4.79,2.5,107.000,803,26,2
10,0,1,1977,1,53,1,4.79,2.5,107.000,803,26,2
4,1,0,1961,0,51,1,5.63,2.9,63.000,300,88,2
20,1,0,1965,0,48,1,5.63,2.9,63.000,300,88,2
1,0,1,1986,0,53,1,5.63,2.9,63.000,300,88,2
24,0,0,1963,0,40,0,7.51,7.8,2.600,0.6,86,2
3,1,0,1978,0,35,1,5.81,1.3,0.300,28,60,2
3,1,0,1981,0,38,1,5.81,1.3,0.300,28,60,2
1,0,0,1986,0,,1,5.81,1.3,0.300,28,60,2
5,1,0,1960,0,54,1,4.79,2.9,17.000,66,87,2
10,0,0,1977,0,71,1,4.79,2.9,17.000,66,87,2
12,0,0,1975,1,65,1,6.49,4.6,20.000,35,94,2
10,1,0,1963,1,52,1,5.6,4.3,54.000,514,82,2
1,1,0,1973,0,66,1,5.6,4.3,54.000,514,82,2
0,1,0,1975,0,70,1,5.6,4.3,54.000,514,82,2
1,1,0,1975,0,64,1,5.6,4.3,54.000,514,82,2
1,3,1,1976,1,,1,5.6,4.3,54.000,514,82,2
2,3,1,1977,1,60,1,5.6,4.3,54.000,514,82,2
7,0,0,1980,1,60,1,5.6,4.3,54.000,514,82,2
22,0,0,1965,0,47,0,5.81,1.3,0.100,0.7,95,2
3,1,0,1978,0,36,0,5.81,1.3,0.080,0.03,45,2
6,1,0,1981,0,,0,5.81,1.3,0.080,0.03,45,2
8,0,0,1979,0,45,1,5.81,1.3,0.080,0.03,45,2
17,2,0,1969,0,61,1,4.25,-6,65.000,330,78,2
0,1,0,1986,0,79,1,4.25,-6,65.000,330,78,2
1,0,0,1986,0,73,1,4.25,-6,65.000,330,78,2
0,3,1,1963,1,47,1,5.08,-3,65.000,330,78,2
1,3,1,1964,1,37,1,5.08,-3,65.000,330,78,2
0,3,1,1965,0,62,1,5.08,-3,65.000,330,78,2
0,3,1,1965,1,38,1,5.08,-3,65.000,330,78,2
10,3,1,1965,1,42,1,5.08,-3,65.000,330,78,2
8,1,0,1962,0,41,0,5.86,1.3,0.180,2.9,90,2
3,1,0,1970,0,48,0,5.86,1.3,0.180,2.9,90,2
6,1,0,1976,0,58,0,5.86,1.3,0.180,2.9,90,2
0,1,0,1982,0,,0,5.86,1.3,0.180,2.9,90,2
3,1,0,1982,0,58,0,5.86,1.3,0.180,2.9,90,2
6,0,0,1981,0,70,0,6.61,-0.4,0.080,0.44,90,3
1,1,0,1962,0,52,0,7.4,0.5,30.500,2767,94,3
3,3,0,1963,0,63,0,7.4,0.5,30.500,2767,94,3
4,3,1,1966,1,52,0,7.4,0.5,30.500,2767,94,3
0,3,1,1970,1,50,0,7.4,0.5,30.500,2767,94,3
2,1,1,1971,1,53,0,7.4,0.5,30.500,2767,94,3
0,1,0,1973,0,57,0,7.4,0.5,30.500,2767,94,3
2,3,0,1974,0,43,0,7.4,0.5,30.500,2767,94,3
4,1,1,1976,1,51,0,7.4,0.5,30.500,2767,94,3
1,1,0,1980,1,55,0,7.4,0.5,30.500,2767,94,3
0,1,0,1981,1,54,0,7.4,0.5,30.500,2767,94,3
1,1,0,1982,0,54,0,7.4,0.5,30.500,2767,94,3
4,0,0,1983,0,58,0,7.4,0.5,30.500,2767,94,3
20,0,0,1967,0,36,0,8.1,-1.8,0.230,14,95,3
10,1,0,1966,0,46,0,6.91,3.8,0.250,0.43,99,3
9,2,0,1976,0,44,0,6.91,3.8,0.250,0.43,99,3
1,1,0,1985,0,53,0,6.91,3.8,0.250,0.43,99,3
0,0,0,1987,0,50,0,6.91,3.8,0.250,0.43,99,3
3,1,0,1981,0,62,1,6.62,3.6,0.160,23,93,3
3,0,0,1984,0,43,1,6.62,3.6,0.160,23,93,3
0,3,1,1964,1,42,1,5.44,0.6,6.400,1099,63,3
0,3,1,1965,1,47,1,5.44,0.6,6.400,1099,63,3
0,3,0,1969,0,44,1,5.44,0.6,6.400,1099,63,3
0,3,1,1970,1,49,1,5.44,0.6,6.400,1099,63,3
7,3,1,1971,1,45,1,5.44,0.6,6.400,1099,63,3
0,3,1,1978,1,47,1,5.44,0.6,6.400,1099,63,3
0,1,1,1979,1,54,1,5.44,0.6,6.400,1099,63,3
0,3,0,1979,0,68,1,5.44,0.6,6.400,1099,63,3
0,1,1,1979,1,53,1,5.44,0.6,6.400,1099,63,3
0,1,0,1979,0,58,1,5.44,0.6,6.400,1099,63,3
1,3,1,1980,0,50,1,5.44,0.6,6.400,1099,63,3
0,1,1,1981,1,48,1,5.44,0.6,6.400,1099,63,3
0,3,0,1982,1,45,1,5.44,0.6,6.400,1099,63,3
0,1,0,1961,0,44,1,6.63,5,135.600,8512,76,3
2,3,0,1961,0,43,1,6.63,5,135.600,8512,76,3
3,1,1,1964,1,64,1,6.63,5,135.600,8512,76,3
2,3,0,1967,1,65,1,6.63,5,135.600,8512,76,3
4,1,1,1969,1,64,1,6.63,5,135.600,8512,76,3
5,1,0,1974,1,66,1,6.63,5,135.600,8512,76,3
6,2,0,1979,1,60,1,6.63,5,135.600,8512,76,3
2,0,0,1985,0,54,1,6.63,5,135.600,8512,76,3
6,1,0,1964,0,53,0,6.58,-0.1,12.100,757,94,3
2,3,0,1970,0,62,0,6.58,-0.1,12.100,757,94,3
14,0,1,1973,1,58,0,6.58,-0.1,12.100,757,94,3
4,1,0,1962,1,62,1,6.09,3.2,28.400,1139,88,3
4,1,0,1966,0,58,1,6.09,3.2,28.400,1139,88,3
4,1,0,1970,0,57,1,6.09,3.2,28.400,1139,88,3
4,1,0,1974,0,60,1,6.09,3.2,28.400,1139,88,3
4,1,0,1978,0,62,1,6.09,3.2,28.400,1139,88,3
4,0,0,1982,0,59,1,6.09,3.2,28.400,1139,88,3
4,1,0,1962,0,55,0,6.57,2.1,2.600,51,93,3
4,1,0,1966,0,50,0,6.57,2.1,2.600,51,93,3
4,1,0,1974,0,53,0,6.57,2.1,2.600,51,93,3
4,1,0,1978,0,51,0,6.57,2.1,2.600,51,93,3
4,1,0,1982,0,56,0,6.57,2.1,2.600,51,93,3
1,0,0,1986,0,45,0,6.57,2.1,2.600,51,93,3
0,1,0,1978,0,41,0,6.15,3.9,0.080,1,80,3
0,1,0,1979,0,36,0,6.15,3.9,0.080,1,80,3
7,0,0,1980,0,61,0,6.15,3.9,0.080,1,80,3
1,3,0,1961,0,54,0,6.25,3.9,6.400,49,74,3
1,1,1,1962,0,57,0,6.25,3.9,6.400,49,74,3
0,3,0,1963,0,54,0,6.25,3.9,6.400,49,74,3
0,3,1,1963,0,,0,6.25,3.9,6.400,49,74,3
2,3,1,1963,0,40,0,6.25,3.9,6.400,49,74,3
0,3,1,1965,0,,0,6.25,3.9,6.400,49,74,3
0,3,1,1965,1,45,0,6.25,3.9,6.400,49,74,3
0,1,1,1965,1,32,0,6.25,3.9,6.400,49,74,3
0,1,0,1965,0,44,0,6.25,3.9,6.400,49,74,3
4,2,0,1978,0,67,0,6.25,3.9,6.400,49,74,3
4,1,0,1982,0,56,0,6.25,3.9,6.400,49,74,3
1,3,1,1961,0,42,0,5.94,4.6,9.400,284,85,3
2,3,1,1963,1,48,0,5.94,4.6,9.400,284,85,3
0,1,1,1966,0,62,0,5.94,4.6,9.400,284,85,3
1,1,0,1966,0,45,0,5.94,4.6,9.400,284,85,3
4,3,1,1972,1,49,0,5.94,4.6,9.400,284,85,3
2,1,1,1976,1,50,0,5.94,4.6,9.400,284,85,3
1,1,0,1978,1,,0,5.94,4.6,9.400,284,85,3
2,2,0,1979,0,38,0,5.94,4.6,9.400,284,85,3
3,1,0,1981,0,41,0,5.94,4.6,9.400,284,85,3
3,0,0,1984,0,53,0,5.94,4.6,9.400,284,85,3
0,3,1,1960,1,,1,5.86,-0.2,4.800,21,65,3
0,3,1,1961,1,,1,5.86,-0.2,4.800,21,65,3
0,1,1,1961,1,,1,5.86,-0.2,4.800,21,65,3
5,1,0,1962,1,40,1,5.86,-0.2,4.800,21,65,3
5,1,0,1967,1,50,1,5.86,-0.2,4.800,21,65,3
5,1,0,1972,1,45,1,5.86,-0.2,4.800,21,65,3
2,3,0,1977,1,43,1,5.86,-0.2,4.800,21,65,3
1,3,1,1979,1,43,1,5.86,-0.2,4.800,21,65,3
1,1,1,1980,0,55,1,5.86,-0.2,4.800,21,65,3
2,1,0,1982,0,56,1,5.86,-0.2,4.800,21,65,3
5,3,0,1974,0,52,0,6.04,0.9,0.100,0.34,85,3
4,3,1,1979,0,36,0,6.04,0.9,0.100,0.34,85,3
0,3,1,1983,1,,0,6.04,0.9,0.100,0.34,85,3
1,1,1,1983,0,44,0,6.04,0.9,0.100,0.34,85,3
3,0,0,1984,0,66,0,6.04,0.9,0.100,0.34,85,3
3,1,1,1963,1,55,1,6.21,2.1,8.000,109,50,3
4,1,0,1966,1,51,1,6.21,2.1,8.000,109,50,3
4,1,0,1970,1,52,1,6.21,2.1,8.000,109,50,3
4,1,0,1974,1,44,1,6.21,2.1,8.000,109,50,3
4,1,0,1978,0,54,1,6.21,2.1,8.000,109,50,3
0,3,0,1982,1,56,1,6.21,2.1,8.000,109,50,3
1,3,1,1982,1,56,1,6.21,2.1,8.000,109,50,3
3,1,1,1983,1,53,1,6.21,2.1,8.000,109,50,3
1,0,0,1986,0,44,1,6.21,2.1,8.000,109,50,3
18,2,0,1966,0,43,1,6.02,0.5,0.790,215,85,3
2,0,0,1985,0,56,1,6.02,0.5,0.790,215,85,3
15,3,0,1971,0,20,1,5.3,1.1,5.900,28,23,3
1,0,1,1985,1,54,1,5.3,1.1,5.900,28,23,3
11,3,1,1963,1,42,1,5.77,0.6,4.400,112,56,3
3,3,1,1975,1,44,1,5.77,0.6,4.400,112,56,3
3,1,1,1978,1,,1,5.77,0.6,4.400,112,56,3
4,1,0,1982,0,48,1,5.77,0.6,4.400,112,56,3
1,0,0,1986,0,59,1,5.77,0.6,4.400,112,56,3
5,1,0,1962,0,78,0,6.9,-0.5,2.200,11,74,3
0,2,0,1967,0,55,0,6.9,-0.5,2.200,11,74,3
5,1,0,1967,0,44,0,6.9,-0.5,2.200,11,74,3
8,1,0,1972,0,48,0,6.9,-0.5,2.200,11,74,3
7,0,0,1980,0,50,0,6.9,-0.5,2.200,11,74,3
6,1,0,1964,0,53,0,6.79,3.2,78.800,1973,88,3
